"Click Id","Subs Date","Unsubs Date"
31111312,"2024-03-12 19:57:23","2024-03-12 20:05:13"
4381412,"2024-03-12 20:08:32","2024-03-12 20:14:00"
11011412,"2024-03-12 20:21:51","2024-03-12 20:34:10"
13601512,"2024-03-12 21:25:26","2024-03-12 21:27:47"
2551612,"2024-03-12 22:04:42","2024-03-12 22:06:30"
10741612,"2024-03-12 22:17:15","2024-03-12 22:18:37"
27141712,"2024-03-13 05:12:37","2024-03-13 05:14:18"
301812,"2024-03-13 00:00:55","2024-03-13 00:01:42"
1041812,"2024-03-13 00:02:10","2024-03-13 00:03:01"
12241812,"2024-03-13 00:24:37","2024-03-13 00:27:57"
15681812,"2024-03-13 00:27:56","2024-03-13 00:29:03"
14831912,"2024-03-13 01:47:26","2024-03-13 01:48:44"
1452012,"2024-03-13 02:06:16","2024-03-13 02:32:48"
18172212,"2024-03-13 04:23:46","2024-03-13 04:37:26"
19782212,"2024-03-13 04:27:31","2024-03-13 04:36:28"
22672212,"2024-03-13 04:36:04","2024-03-13 04:38:02"
10072312,"2024-03-13 05:24:16","2024-03-13 05:25:55"
12912312,"2024-03-13 05:33:31","2024-03-13 05:36:55"
13452312,"2024-03-13 05:35:30","2024-03-13 15:18:14"
24622312,"2024-03-13 05:52:38","2024-03-13 05:55:23"
2860013,"2024-03-13 06:12:05","2024-03-13 10:42:28"
5020013,"2024-03-13 06:25:45","2024-03-13 06:27:29"
3930113,"2024-03-13 07:10:05","2024-03-13 07:18:00"
16060213,"2024-03-13 08:32:54","2024-03-13 09:00:37"
23650213,"2024-03-13 08:48:37","2024-03-13 08:51:51"
3580313,"2024-03-13 09:05:37","2024-03-13 09:35:21"
8110313,"2024-03-13 09:11:13","2024-03-13 09:12:19"
17100313,"2024-03-13 09:26:02","2024-03-13 09:31:31"
30000313,"2024-03-13 09:46:41","2024-03-13 10:06:36"
32970313,"2024-03-13 09:49:03","2024-03-13 10:20:23"
26450313,"2024-03-13 09:59:22","2024-03-13 10:22:37"
16420413,"2024-03-13 10:17:39","2024-03-13 10:37:04"
26390413,"2024-03-13 10:28:21","2024-03-13 10:31:05"
40720413,"2024-03-13 10:45:00","2024-03-13 10:49:18"
49580413,"2024-03-13 10:52:09","2024-03-13 10:57:26"
20740513,"2024-03-13 11:20:08","2024-03-13 11:28:16"
34350513,"2024-03-13 11:38:00","2024-03-13 11:39:52"
42810513,"2024-03-13 11:51:06","2024-03-13 11:54:34"
45180513,"2024-03-13 11:52:01","2024-03-13 11:55:01"
11690713,"2024-03-13 13:16:46","2024-03-13 13:17:52"
7200813,"2024-03-13 14:09:07","2024-03-13 14:11:10"
30280813,"2024-03-21 00:09:41","2024-03-21 00:27:56"
35090813,"2024-03-13 14:39:22","2024-03-13 15:07:28"
1120913,"2024-03-13 15:02:02","2024-03-13 15:03:09"
1760913,"2024-03-13 15:02:49","2024-03-13 15:03:36"
3691113,"2024-03-13 17:09:25","2024-03-13 20:08:36"
13281113,"2024-03-13 17:42:14","2024-03-13 17:45:35"
27681113,"2024-03-13 17:51:25","2024-03-13 17:52:23"
21791213,"2024-03-13 18:50:47","2024-03-13 19:23:18"
26451213,"2024-03-13 18:58:41","2024-03-13 18:59:31"
36851313,"2024-03-13 19:48:01","2024-03-13 21:03:32"
14661413,"2024-03-13 20:23:12","2024-03-13 20:24:02"
44851413,"2024-03-13 20:48:55","2024-03-13 20:50:38"
47621713,"2024-03-13 23:30:49","2024-03-13 23:34:11"
60871713,"2024-03-13 23:38:25","2024-03-13 23:41:27"
31361913,"2024-03-14 01:34:13","2024-03-14 01:49:17"
14652113,"2024-03-14 03:31:05","2024-03-14 04:03:08"
13112213,"2024-03-14 04:23:14","2024-03-14 04:30:03"
22632213,"2024-03-14 04:35:35","2024-03-14 04:44:08"
32162213,"2024-03-14 04:46:38","2024-03-14 05:15:32"
10502313,"2024-03-14 05:14:14","2024-03-14 05:16:15"
23542313,"2024-03-14 05:30:53","2024-03-14 05:32:11"
38702313,"2024-03-14 05:52:34","2024-03-14 05:53:55"
42922313,"2024-03-14 05:58:15","2024-03-14 05:59:57"
1300014,"2024-03-14 05:58:15","2024-03-14 05:59:57"
25780014,"2024-03-14 06:59:11","2024-03-14 07:03:07"
2030214,"2024-03-14 08:06:29","2024-03-14 08:09:34"
12670214,"2024-03-14 08:28:24","2024-03-14 08:40:51"
13810214,"2024-03-14 08:28:25","2024-03-14 08:30:09"
16430214,"2024-03-14 08:33:11","2024-03-14 08:43:52"
360314,"2024-03-14 09:01:17","2024-03-14 09:03:56"
31020414,"2024-03-14 10:40:47","2024-03-14 10:41:43"
33030414,"2024-03-14 10:43:24","2024-03-14 10:45:51"
44730414,"2024-03-14 10:59:55","2024-03-14 11:01:23"
5890514,"2024-03-14 11:09:59","2024-03-14 11:13:00"
20990614,"2024-03-14 12:26:15","2024-03-14 23:08:22"
27740714,"2024-03-14 13:35:27","2024-03-14 14:00:30"
31700814,"2024-03-14 14:43:04","2024-03-14 15:51:13"
37440814,"2024-03-14 14:48:09","2024-03-14 14:51:25"
43700914,"2024-03-14 15:54:07","2024-03-14 15:54:42"
1401014,"2024-03-14 16:02:27","2024-03-14 16:30:18"
24541014,"2024-03-15 04:00:59","2024-03-15 04:37:25"
25321014,"2024-03-14 16:38:16","2024-03-14 16:40:43"
14001114,"2024-03-14 17:22:42","2024-03-14 17:23:42"
19881414,"2024-03-14 20:19:17","2024-03-14 20:22:01"
96011514,"2024-03-14 21:54:59","2024-03-14 21:56:22"
32271614,"2024-03-14 22:15:19","2024-03-14 22:16:39"
40521614,"2024-03-14 22:20:41","2024-03-14 22:21:24"
111091614,"2024-03-15 03:50:17","2024-03-15 04:28:10"
21962114,"2024-03-15 03:50:17","2024-03-15 04:28:10"
32051714,"2024-03-14 23:15:51","2024-03-14 23:21:36"
61801714,"2024-03-14 23:30:15","2024-03-14 23:32:42"
91301714,"2024-03-14 23:44:07","2024-03-14 23:56:52"
50801814,"2024-03-25 06:36:34","2024-03-25 22:31:14"
8930025,"2024-03-25 06:36:34","2024-03-25 22:31:14"
50101814,"2024-03-15 00:31:12","2024-03-15 00:34:42"
55901814,"2024-03-15 00:31:12","2024-03-15 00:34:42"
59181814,"2024-03-15 00:32:48","2024-03-15 00:38:39"
32831914,"2024-03-15 01:28:00","2024-03-15 01:29:18"
56991914,"2024-03-15 01:52:42","2024-03-15 01:54:33"
27672014,"2024-03-15 02:40:35","2024-03-15 06:46:28"
19182214,"2024-03-15 04:38:32","2024-03-15 04:40:10"
18312314,"2024-03-15 05:27:09","2024-03-15 05:30:17"
4830215,"2024-03-15 08:11:55","2024-03-15 08:18:42"
16090315,"2024-03-15 09:27:47","2024-03-15 09:29:05"
20110315,"2024-03-15 09:34:34","2024-03-15 09:41:35"
21070315,"2024-03-15 09:36:46","2024-03-15 09:47:51"
35540315,"2024-03-15 09:56:20","2024-03-15 10:10:10"
7810415,"2024-03-15 10:11:48","2024-03-15 10:14:51"
